Metadata_Experiment_Well,Metadata_Experiment_Treatment,Metadata_Experiment_Dose,Metadata_Experiment_Unit,Metadata_Experiment_Target,Metadata_Experiment_TherapeuticCategories,Metadata_Experiment_ViabilityPercentage,Metadata_Biology_PatientTumor,Metadata_Biology_TumorType
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,119.0342275,NF0055_T1,pNF
E6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,104.4575572,NF0018_T6,cNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,77.0725096,NF0014_T2,pNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,126.0333863,NF0035_T1,cNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,86.71328671,SARCO219_T2,MPNST
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,103.6993126,NF0014_T1,cNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,136.8080875,NF0021_T1,cNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,90.40139616,NF0037_T1,cNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,99.68457418,SARCO361_T1,MPNST
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,119.0342275,NF0055_T1,pNF
F6,Nilotinib,1,uM,tyrosine kinase inhibitor,Investigational,104.4575572,NF0018_T6,cNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,108.4255704,NF0014_T2,pNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,98.76788553,NF0035_T1,cNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,104.1958042,SARCO219_T2,MPNST
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,112.7760234,NF0014_T1,cNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,119.1415313,NF0021_T1,cNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,112.3036649,NF0037_T1,cNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,104.7013468,SARCO361_T1,MPNST
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,114.1337806,NF0055_T1,pNF
G6,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,99.72984502,NF0018_T6,cNF
B7,Vistusertib,1,uM,mTOR inhibitor,Investigational,78.44677138,NF0037_T1,cNF
B7,Vistusertib,1,uM,mTOR inhibitor,Investigational,66.41373598,NF0055_T1,pNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,108.4255704,NF0014_T2,pNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,98.76788553,NF0035_T1,cNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,104.1958042,SARCO219_T2,MPNST
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,112.7760234,NF0014_T1,cNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,119.1415313,NF0021_T1,cNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,112.3036649,NF0037_T1,cNF
C7,Ketotifen,1,uM,histamine H1 receptor antagonist,Anti-Allergic Agents,104.7013468,SARCO361_T1,MPNST
